#num month (since 2010) | mean elev IN | std elev IN | num pts IN | mean elev OUT | std elev OUT | num pts OUT
2010.625,-0.586884641461,2.7597846531,0.0393490467919,175,-2.56952986947,1.75495150592,0.0166962949489,972,-0.932852999,-2.27892581
2010.70833333,-0.586884641461,2.7597846531,0.0393490467919,175,-2.60939485939,1.76255945932,0.0167480665304,966,-0.932852999,-2.3123691385
2010.79166667,-0.846807632527,2.65883715126,0.0362676679141,206,-2.61410438017,1.80275418335,0.0144039515592,1306,-1.1359620845,-2.3066816075
2010.875,-0.803718816391,2.95004225695,0.0306199388644,289,-2.75454315645,1.92862248784,0.0125403772618,1723,-1.161297122,-2.356978105
2010.95833333,-0.986067303161,2.81137971511,0.0271349690957,368,-2.83767515113,1.93019539453,0.0109544675155,2258,-1.30977522885,-2.4569376265
2011.04166667,-0.786998394579,2.96560735826,0.0280248755754,345,-3.0617014705,2.12182246971,0.0111795314413,2168,-1.137705897,-2.6061643185
2011.125,-0.837773935046,3.00869626011,0.0315044510839,273,-3.02079693534,1.95451921388,0.0116163954061,2008,-1.101820352,-2.5963123045
2011.20833333,-0.64925166984,3.47134006716,0.0299536512606,302,-3.13244191537,2.15315412781,0.0117189768949,1973,-1.0073636725,-2.677885509
2011.29166667,-0.689868370112,3.36139571754,0.0306199388644,289,-3.08734757839,2.16781078367,0.0119957686291,1883,-1.020697513,-2.637088664
2011.375,-0.560873506336,3.35702741676,0.0308883045463,284,-3.05213550594,2.14660486255,0.0120827072926,1856,-0.9287820475,-2.6343568755
2011.45833333,-0.33528030179,3.34975961345,0.0312761549522,277,-2.98864244974,2.12239785033,0.0118982276457,1914,-0.747658236,-2.512567478
2011.54166667,-0.201471368176,3.41392807422,0.0308340669197,285,-2.8550729999,1.99186846328,0.0117728025377,1955,-0.658059915,-2.450088808
2011.625,-0.0410021616227,3.27180548742,0.0307801140054,286,-2.86756254014,2.19523170231,0.0117577766189,1960,-0.279761469,-2.403769022
2011.70833333,0.141247011403,3.24148928591,0.0302557125274,296,-2.72151185105,2.03776238521,0.0117249210885,1971,-0.315174527,-2.299259991
2011.79166667,0.246002980019,3.29673180577,0.0298059741839,305,-2.70422586882,2.00368350824,0.0118243248956,1938,-0.198670002,-2.300165571
2011.875,0.30559008842,3.22388215151,0.0292826043319,316,-2.74768100314,1.98592174012,0.0113267752639,2112,-0.309781631,-2.3179505685
2011.95833333,0.298793485841,3.32446863043,0.0263923729732,389,-2.89914256157,2.13154673697,0.0109423591139,2263,-0.029382599,-2.440365458
2012.04166667,0.297720150963,3.20608922014,0.0261251015497,397,-2.93173099754,2.14621957501,0.0106789861308,2376,0.219505837,-2.4275398835
2012.125,0.449576476553,3.28863165026,0.026952485727,373,-2.79987004698,2.02362548933,0.0107173958103,2359,0.385453705,-2.336564795
2012.20833333,0.772743997817,3.28744416728,0.0300033668986,301,-2.64047243137,1.90630884636,0.0111080307351,2196,0.593020261,-2.251086129
2012.29166667,1.25349252112,3.53256445101,0.0308340669197,285,-2.58220991626,2.01349880352,0.0112236220972,2151,1.031290322,-2.161109003
2012.375,1.48001595605,3.51592924373,0.0306199388644,289,-2.53397252312,2.04189760634,0.011654181854,1995,1.124001248,-2.111701833
2012.45833333,1.63641679597,3.89597182602,0.0306730524149,288,-2.47849198233,2.10101897951,0.0117100775313,1976,1.206059147,-2.024605095
2012.54166667,1.78122136199,4.13082079481,0.0315044510839,273,-2.46657078838,2.14425088485,0.0121351270931,1840,1.80907582,-2.0063108065
2012.625,1.5820664828,4.04987398892,0.0316789923147,270,-2.38597340654,2.09696711697,0.012188235124,1824,1.503237309,-1.9782994285
2012.70833333,0.790780137852,3.38233904049,0.032097807371,263,-2.28981020086,1.96429380602,0.0122352811472,1810,0.768320664,-1.9481932505
2012.79166667,-0.569114611758,2.65320516352,0.0306199388644,289,-2.26896438288,1.91575915655,0.011815183553,1941,-0.69342979,-1.910285573
2012.875,-1.68890528536,2.43224747098,0.0310527509856,281,-2.25028083712,1.78166301001,0.0118703520252,1923,-1.64966411,-1.935541449
2012.95833333,-2.8223458202,2.16943949823,0.0296604600152,308,-2.41419848659,2.01184091395,0.0114163163827,2079,-2.9582792705,-1.997929448
2013.04166667,-3.64859126492,1.98134992385,0.0311638524174,279,-2.42824651193,1.98262075867,0.0114605016137,2063,-3.522659694,-2.022644794
2013.125,-3.93753856316,1.83732570385,0.028065579846,344,-2.38198044544,1.96108041579,0.010899099014,2281,-3.681564457,-2.014701228
2013.20833333,-4.19563995698,2.12068614763,0.0286982418788,329,-2.33900358172,1.93827876068,0.0109038803693,2279,-4.044219822,-1.920707882
2013.29166667,-4.18313812283,2.11942288385,0.0279439955349,347,-2.28091088686,1.86771916182,0.0106232440958,2401,-3.971347351,-1.88740496
2013.375,-4.13271866967,2.20080784023,0.0310527509856,281,-2.2050468382,1.87617006573,0.0109885860731,2244,-3.903144316,-1.8328459645
2013.45833333,-3.80295416857,1.92372317808,0.0328561278584,251,-2.15827091982,1.81664660143,0.0115475908794,2032,-3.69738792,-1.8103311165
2013.54166667,-3.65519479405,2.02910035374,0.0327260040685,253,-2.19631730291,1.87494480197,0.0120632242797,1862,-3.338337719,-1.8054723595
2013.625,-3.38217399538,1.6599716044,0.0363560180277,205,-2.15225842981,1.92354985658,0.0130790334953,1584,-3.079709971,-1.7862352435
2013.70833333,-3.21031798721,1.32814114761,0.0373725193709,194,-2.049631445,1.96798470735,0.0134045602122,1508,-2.8977142855,-1.708737815
