-642325.01	-883925
-642449.98	-883924.97
-642575.01	-883925.02
-642699.98	-883924.97
-642324.99	-883799.99
-642324.97	-883674.98
-642325.02	-883550.04
-642325.01	-883425.01
-642449.98	-883174.97
-642450.01	-883050.01
-642575.01	-883050.02
-642574.98	-882924.96
-642575	-882799.99
-642699.98	-882799.99
-642700.01	-882675.01
-642700.01	-882550.03
-642825	-882550
-642949.97	-882424.97
-642949.98	-882299.96
-642949.96	-882174.96
-643074.98	-882174.99
-643074.97	-882049.97
-643199.98	-882049.99
-643199.97	-881924.96
-643200.02	-881800.02
-643325.01	-881800.02
-643324.98	-881674.98
-643449.97	-881674.96
-643449.99	-881550.01
-643450.04	-881425.04
-643575.01	-881425
-643575.02	-881300.03
-643699.99	-881299.98
-643700	-881175
-643825.02	-881175.03
-643825.02	-881050.04
-643949.97	-881049.96
-643949.97	-880924.96
-643949.97	-880799.95
-644075.02	-880675.02
-644075	-880550.01
-644199.98	-880549.99
-644199.97	-880424.95
-644200.01	-880300.01
-644324.98	-880299.97
-644325.02	-880175.02
-644450	-880050
-644324.98	-880049.98
-644575.01	-879675
-644575.02	-879550.02
-644700.01	-879550.01
-644700.02	-879425.02
-644700.02	-879300.02
-644824.99	-879174.99
-644700.02	-879175.02
-644825.01	-878675.01
-644824.99	-878549.98
-644824.97	-878424.95
-644825	-878300.02
-644950.01	-878300.02
-644949.98	-878174.97
-644950.01	-878050.02
-644949.97	-877924.97
-644950	-877800
-645074.98	-877799.98
-645075	-877675
-645075.01	-877550.02
-645075.02	-877425.04
-645200	-877299.99
-645200	-877174.99
-645325	-877050.01
-645325	-876924.99
-645449.99	-876799.98
-645449.97	-876674.95
-645574.99	-876550
-645574.97	-876424.96
-645700.01	-876425.01
-645699.98	-876299.96
-645700	-876175
-645825	-875924.99
-645950.02	-875800.03
-645950.03	-875675.04
-645949.97	-875549.95
-645949.97	-875424.95
-646075.03	-875425.03
-646075.02	-875300.02
-646075.02	-875175.01
-646199.97	-875049.96
-646200.01	-874925.03
-646200	-874799.99
-646324.98	-874674.99
-646325.02	-874550.03
-646324.99	-874424.98
-646325.01	-874300.02
-646450.02	-874300.02
-646449.97	-874174.96
-646449.98	-874049.99
-646450	-873925.01
-646574.99	-873924.98
-646574.99	-873800
-646699.96	-873799.96
-646699.97	-873674.96
-646700.04	-873550.04
-646824.99	-873549.99
-646824.99	-873424.97
-646950	-873425
-646949.98	-873299.98
-647074.99	-873299.98
-647075.03	-873175.04
-647200.02	-873175.04
-647200	-873049.99
-647324.98	-873049.98
-647325	-872925.02
-647449.99	-872924.98
-647450.01	-872800.01
-647574.97	-872799.97
-647574.98	-872674.99
-647700.02	-872675.01
-647700.02	-872550.02
-647825.03	-872550.05
-647825.03	-872425.04
-647949.96	-872424.96
-648075.02	-872300.03
-648200.01	-872300.01
-648199.99	-872174.98
-648324.96	-872174.96
-648325	-872050.01
-648575.01	-872050.01
-648574.97	-871924.95
-648699.98	-871924.99
-648700.02	-871800.01
-648825.02	-871800.02
-648824.97	-871674.95
-648949.96	-871674.96
-649075.04	-871550.03
-649075.02	-871425.04
-649324.97	-871299.96
-649450.01	-871300
