-279244.2621584454,-515076.2296226118,119.8388800949,2003.8071389099,21.0000000000
-279408.2601240613,-515116.3616490107,119.0458905157,2003.8071389092,20.0000000000
-279572.3648707091,-515156.6532533377,118.1683604736,2003.8071389084,21.0000000000
-279736.5225511573,-515197.1336783782,117.3308843906,2003.8071389076,21.0000000000
-279900.6453100268,-515237.7267881007,116.5403916925,2003.8071389068,21.0000000000
-280064.5732523464,-515278.3956406699,115.9394041955,2003.8071389060,21.0000000000
-280228.3512826989,-515319.1159852315,115.5103897188,2003.8071389052,21.0000000000
-280392.0943465824,-515359.9493704499,115.1468845719,2003.8071389044,21.0000000000
-280555.7504073967,-515400.8002306632,114.8518867047,2003.8071389036,22.0000000000
-280719.4505692897,-515441.8452129793,114.6833774156,2003.8071389028,23.0000000000
-280883.1087178329,-515482.8832988939,114.6408826515,2003.8071389020,24.0000000000
-281046.7248236962,-515523.9145461361,114.7508847612,2003.8071389012,24.0000000000
-281210.3599944249,-515565.0296940911,114.9883734014,2003.8071389004,24.0000000000
-281373.8937833070,-515605.9223792307,115.3668931602,2003.8071388996,22.0000000000
-281537.3782294877,-515646.6882498829,115.8198849113,2003.8071388988,21.0000000000
-281700.8474521369,-515687.4327438909,116.4304046625,2003.8071388981,22.0000000000
-281864.2239932157,-515727.9500429783,116.7928891555,2003.8071388973,25.0000000000
-282027.6211962348,-515768.4263669130,116.9668995747,2003.8071388965,28.0000000000
-282190.9165223796,-515808.6805156696,116.8058809481,2003.8071388957,28.0000000000
-282354.1531088420,-515848.8130110227,116.1268975967,2003.8071388949,24.0000000000
-282517.3128667410,-515888.8337710499,115.0158934891,2003.8071388941,23.0000000000
-282680.1396991124,-515928.5106660089,113.8074008053,2003.8071388933,23.0000000000
-282842.8190458211,-515967.9904933470,112.9243946220,2003.8071388925,23.0000000000
-283005.5545449046,-516007.4099820036,112.4253760015,2003.8071388917,22.0000000000
-283168.2684495982,-516046.5633522338,112.3608916114,2003.8071388909,21.0000000000
-283331.3503903108,-516085.7334970561,112.3348688189,2003.8071388901,21.0000000000
-283494.6670356932,-516124.8692127972,112.2288979329,2003.8071388893,21.0000000000
-283658.0234991831,-516163.8289671205,111.8409042022,2003.8071388885,21.0000000000
-283821.4541648630,-516202.7180443598,111.1893596230,2003.8071388877,22.0000000000
-283984.8705087907,-516241.4608134968,110.2848856162,2003.8071388870,24.0000000000
-284148.2454279166,-516280.0721664125,109.3403804765,2003.8071388862,24.0000000000
-284311.6043330915,-516318.6624107421,108.6469002393,2003.8071388854,23.0000000000
-284474.9727078761,-516357.3418442877,108.3198982123,2003.8071388846,21.0000000000
-284638.1793410828,-516396.2048815374,108.1833993061,2003.8071388838,21.0000000000
-284801.3759569660,-516435.2923803577,108.1718920898,2003.8071388830,23.0000000000
-284964.6091849314,-516474.4543542555,108.4489004285,2003.8071388822,25.0000000000
-285128.0820049823,-516513.9519001223,109.0613828429,2003.8071388814,28.0000000000
-285291.9223147534,-516553.5899743906,109.9284098636,2003.8071388806,29.0000000000
-285456.0311459263,-516593.4230994528,110.9228984890,2003.8071388798,29.0000000000
-285620.2297660258,-516633.4255848384,112.5598964598,2003.8071388790,30.0000000000
-285784.5529408875,-516673.7026550208,114.6024016919,2003.8071388782,33.0000000000
-285948.7691212484,-516714.1335878731,116.8038674997,2003.8071388774,35.0000000000
-286112.9490920386,-516754.8037935818,119.0408820707,2003.8071388766,31.0000000000
-286277.0415133578,-516795.4928809241,121.1853893777,2003.8071388759,27.0000000000
-286441.0810876112,-516836.3061882040,123.2258883744,2003.8071388751,25.0000000000
-286604.9261396612,-516877.0733542735,125.0133998361,2003.8071388743,28.0000000000
-286768.6835116384,-516917.8597507430,126.2999009210,2003.8071388735,31.0000000000
-286932.3003209208,-516958.5702727843,127.3744040787,2003.8071388727,32.0000000000
-287095.8744476683,-516999.2751950093,129.1133937412,2003.8071388719,33.0000000000
-287259.5128899239,-517040.0396775382,131.3068948258,2003.8071388711,32.0000000000
