-322031.5904687046,344581.3761296135,39.8431497463,-0.1848035065,2003.8225865456
-322098.6310516445,344427.5690177366,39.6753669479,-0.1592889757,2003.8225865464
-322165.6856584135,344273.7297318460,39.5075490520,-0.1228010685,2003.8225865472
-322232.8026154359,344119.7473995797,39.3395751119,-0.0837647722,2003.8225865480
-322300.0948454491,343965.3629492034,39.1711625152,-0.1177491548,2003.8225865488
-322367.4101922019,343810.9254635044,39.0026920640,-0.1284127856,2003.8225865496
-322434.7477534499,343656.4370124469,38.8341660166,-0.1101152444,2003.8225865504
-322502.0712971367,343501.9807210233,38.6656750510,-0.1741780861,2003.8225865512
-322569.3415725881,343347.6466396562,38.4973174000,-0.1958910977,2003.8225865520
-322636.5797001132,343193.3863133118,38.3290402059,-0.2277892832,2003.8225865528
-322703.7453799488,343039.2921992730,38.1609443269,-0.1895710754,2003.8225865536
-322770.8487598642,342885.3410161337,37.9930043662,-0.1366131635,2003.8225865543
-322837.7962695620,342731.7474365075,37.8254545027,-0.0778042750,2003.8225865551
-322904.7177616574,342578.2135474763,37.6579697536,-0.1943274383,2003.8225865559
-322971.6112453031,342424.7439165195,37.4905551014,-0.0027647801,2003.8225865567
-323038.5300341506,342271.2162293848,37.3230771177,-0.1916363044,2003.8225865575
-323105.5122967270,342117.5429183533,37.1554402780,-0.2392347075,2003.8225865583
-323172.5549657370,341963.7310205332,36.9876522589,-0.0995448925,2003.8225865591
-323239.6390415389,341809.8241256417,36.8197606107,-0.1546837495,2003.8225865599
-323306.8057110760,341655.7277409914,36.6516622548,-0.1169032758,2003.8225865607
-323374.1293126856,341501.2713166791,36.4831711442,-0.3424934765,2003.8225865615
-323441.4792392607,341346.7544966072,36.3146141500,-0.0741677364,2003.8225865623
-323508.8573971150,341192.1729072372,36.1459865012,-0.1124971318,2003.8225865631
-323576.2105983411,341037.6485743338,35.9774213116,-0.1343457374,2003.8225865639
-323643.4754834928,340883.3268596020,35.8090771509,-0.1494600809,2003.8225865647
-323710.7324015329,340729.0234233274,35.6407529297,-0.1773398007,2003.8225865654
-323777.9475107084,340574.8159065754,35.4725333436,-0.2661513005,2003.8225865662
-323845.1546865813,340420.6265907147,35.3043336123,-0.0399372961,2003.8225865670
-323912.3539196387,340266.4554975701,35.1361537595,-0.1502534356,2003.8225865678
-323979.5403981135,340112.3136664848,34.9680058277,-0.2266323587,2003.8225865686
-324046.7430895967,339958.1346388853,34.7998173195,-0.4849590066,2003.8225865694
-324113.9770773192,339803.8838102367,34.6315504860,-0.3355650926,2003.8225865702
-324181.2496634112,339649.5444277084,34.4631870522,-0.1858528780,2003.8225865710
-324248.5475160668,339495.1470776473,34.2947603837,-0.3824124792,2003.8225865718
-324315.8525144281,339340.7333336304,34.1263158315,-0.4933716965,2003.8225865726
-324383.1478520169,339186.3417537333,33.9578954575,-0.4256868947,2003.8225865734
-324450.4412870791,339031.9545386870,33.7894798448,-0.2439836139,2003.8225865742
-324517.7237543984,338877.5924862626,33.6210916813,-0.1917386350,2003.8225865750
-324584.9831702183,338723.2833194844,33.4527612088,-0.7252089759,2003.8225865758
-324652.1816513813,338569.1139513653,33.2845832377,-0.3811694000,2003.8225865765
-324719.2876620147,338415.1567327302,33.1166366932,-0.3563311099,2003.8225865773
-324786.3766563830,338261.2385534722,32.9487327353,-0.5323928067,2003.8225865781
-324853.4303096834,338107.4014550662,32.7809172257,-0.4375665402,2003.8225865789
-324920.4758588524,337953.5829494734,32.6131219983,-0.5600975727,2003.8225865797
-324987.5435594249,337799.7136232696,32.4452713325,-0.4886600703,2003.8225865805
-325054.6153704167,337645.8348667822,32.2774103796,-0.7075937553,2003.8225865813
-325121.7276824853,337491.8631911494,32.1094480644,-0.5504786881,2003.8225865821
-325188.8849785203,337337.7883115521,31.9413731676,-0.5566655617,2003.8225865829
-325256.1764028811,337183.4057095350,31.7729625871,-0.3822051349,2003.8225865837
-325323.4931806404,337028.9649407653,31.6044885546,-0.3678423170,2003.8225865845
-325390.7945563772,336874.5595079145,31.4360530689,-0.6703481534,2003.8225865853
-325458.0413193893,336720.2793696998,31.2677542626,-0.7177730593,2003.8225865861
