-614740.5815232310 -915781.3099861144 139.4681773458 2003.8336254728 13.0000000000
-614711.5115411597 -915614.7836654764 139.7027052440 2003.8336254721 13.0000000000
-614682.2664936486 -915448.2382716640 139.3252020124 2003.8336254713 13.0000000000
-614653.0164008893 -915281.8233851987 140.0681915163 2003.8336254705 13.0000000000
-614623.6871510769 -915115.3250580911 140.9127131945 2003.8336254697 13.0000000000
-614594.2176876367 -914948.6524321449 142.2366923183 2003.8336254689 13.0000000000
-614564.6662071364 -914782.0301729728 143.7171953079 2003.8336254681 13.0000000000
-614534.9876564769 -914615.3566865283 145.7621785861 2003.8336254673 13.0000000000
-614505.1022454295 -914448.6856073273 147.8591826141 2003.8336254665 13.0000000000
-614475.0391764829 -914282.1292413516 150.4996876797 2003.8336254657 13.0000000000
-614444.8810583049 -914115.5002057559 153.3151906720 2003.8336254649 13.0000000000
-614414.7049091709 -913948.8786367278 156.3236646065 2003.8336254641 13.0000000000
-614384.6675001752 -913782.2910415620 158.3596893899 2003.8336254633 13.0000000000
-614354.7396026927 -913615.6251343376 158.4167038038 2003.8336254625 13.0000000000
-614324.9025245035 -913449.0253751162 157.7332026473 2003.8336254617 13.0000000000
-614295.0792212072 -913282.4116476515 157.8981963014 2003.8336254610 13.0000000000
-614265.1288905286 -913115.7467333202 158.5531941094 2003.8336254602 13.0000000000
-614235.0967157234 -912949.1321854052 159.4541836131 2003.8336254594 13.0000000000
-614204.9720254593 -912782.3113196529 159.8091897257 2003.8336254586 13.0000000000
-614174.9699708353 -912615.5351758333 159.6441916777 2003.8336254578 13.0000000000
-614145.0479051830 -912448.5685328753 158.5146718471 2003.8336254570 13.0000000000
-614115.3146210652 -912281.4700731186 156.7252018283 2003.8336254562 13.0000000000
-614085.6744891725 -912114.3041252934 155.0251913388 2003.8336254554 13.0000000000
-614056.2974783045 -911947.2201501282 153.5917047107 2003.8336254546 13.0000000000
-614027.0587354440 -911780.1702115770 152.9926942247 2003.8336254538 13.0000000000
-613998.0671086827 -911613.2129514951 153.1931992890 2003.8336254530 13.0000000000
-613969.2748304856 -911446.3805082643 153.5401950199 2003.8336254522 13.0000000000
-613940.6207205830 -911279.5820843405 153.9216897223 2003.8336254514 13.0000000000
-613912.1818140430 -911112.8977432523 154.5041885656 2003.8336254506 13.0000000000
-613883.8810117735 -910946.2474111787 155.1186936344 2003.8336254499 13.0000000000
-613855.6094116723 -910779.5724561262 155.7031987076 2003.8336254491 13.0000000000
-613827.3963867968 -910612.9850784255 156.3081716022 2003.8336254483 13.0000000000
-613799.2419461586 -910446.4852689644 156.8696559258 2003.8336254475 13.0000000000
-613771.0078192627 -910279.9022119509 157.6931859004 2003.8336254467 13.0000000000
-613742.6304521393 -910113.2787685536 158.7686826677 2003.8336254459 13.0000000000
