-319545.6245330069,350284.7758320967
-319612.9292693227,350130.3626892748
-319680.2236047190,349975.9734086468
-319747.4834589321,349821.6632360899
-319814.7352158910,349667.3716405684
-319881.8896252686,349513.3033836527
-319949.0122988645,349359.3079362015
-320016.0976929555,349205.3980168396
-320083.1720883909,349051.5133310211
-320150.1972146244,348897.7416805209
-320217.2179149187,348743.9801841826
-320284.2548327736,348590.1814808864
-320351.3175432247,348436.3236032132
-320418.4859518146,348282.2232287604
-320485.6650419110,348128.0983483802
-320552.8838934681,347973.8822457108
-320620.1479148188,347819.5625127447
-320687.4395009304,347665.1795396326
-320754.7344549993,347510.7888396219
-320822.0001440321,347356.4652805947
-320889.1623596479,347202.3791143040
-320956.1252219887,347048.7503120473
-321023.0391074433,346895.2338744672
-321089.9835716105,346741.6472820159
-321156.9780458511,346587.9459545095
-321224.1449259997,346433.8490866661
-321291.3762060301,346279.6044701101
-321358.6628208568,346125.2329023132
-321426.0160990241,345970.7083928883
-321493.4510846134,345815.9964271192
-321560.9081202070,345661.2338733729
-321628.3396748627,345506.5297789850
-321695.7389527295,345351.8997352610
-321763.0139724617,345197.5547693806
-321830.2394520267,345043.3234604779
-321897.4214582164,344889.1918898828
-321964.5539836640,344735.1738399303
-322031.5904687046,344581.3761296135
-322098.6310516445,344427.5690177366
-322165.6856584135,344273.7297318460
-322232.8026154359,344119.7473995797
-322300.0948454491,343965.3629492034
-322367.4101922019,343810.9254635044
-322434.7477534499,343656.4370124469
-322502.0712971367,343501.9807210233
-322569.3415725881,343347.6466396562
-322636.5797001132,343193.3863133118
-322703.7453799488,343039.2921992730
-322770.8487598642,342885.3410161337
-322837.7962695620,342731.7474365075
-322904.7177616574,342578.2135474763
-322971.6112453031,342424.7439165195
-323038.5300341506,342271.2162293848
-323105.5122967270,342117.5429183533
-323172.5549657370,341963.7310205332
-323239.6390415389,341809.8241256417
-323306.8057110760,341655.7277409914
-323374.1293126856,341501.2713166791
-323441.4792392607,341346.7544966072
-323508.8573971150,341192.1729072372
-323576.2105983411,341037.6485743338
-323643.4754834928,340883.3268596020
-323710.7324015329,340729.0234233274
-323777.9475107084,340574.8159065754
-323845.1546865813,340420.6265907147
-323912.3539196387,340266.4554975701
-323979.5403981135,340112.3136664848
-324046.7430895967,339958.1346388853
-324113.9770773192,339803.8838102367
-324181.2496634112,339649.5444277084
-324248.5475160668,339495.1470776473
-324315.8525144281,339340.7333336304
-324383.1478520169,339186.3417537333
-324450.4412870791,339031.9545386870
-324517.7237543984,338877.5924862626
-324584.9831702183,338723.2833194844
-324652.1816513813,338569.1139513653
-324719.2876620147,338415.1567327302
-324786.3766563830,338261.2385534722
-324853.4303096834,338107.4014550662
-324920.4758588524,337953.5829494734
-324987.5435594249,337799.7136232696
-325054.6153704167,337645.8348667822
-325121.7276824853,337491.8631911494
-325188.8849785203,337337.7883115521
-325256.1764028811,337183.4057095350
-325323.4931806404,337028.9649407653
-325390.7945563772,336874.5595079145
-325458.0413193893,336720.2793696998
-325525.1731289833,336566.2629620864
-325592.2624609324,336412.3440083374
-325659.3319268947,336258.4706319075
-325726.3575116083,336104.6979295447
-325793.3737449220,335950.9466815271
-325860.3763436790,335797.2267144395
-325927.4359805029,335643.3758884013
-325994.5498369531,335489.4006695884
-326061.8518553645,335334.9937622884
-326129.1688331698,335180.5525345652
-326196.4991266632,335026.0807574729
-326263.7974476427,334871.6823329648
-326330.9913407099,334717.5234910335
-326398.1459010241,334563.4548878333
-326465.2835797338,334409.4250150663
-326532.4104044352,334255.4200439873
-326599.5384398627,334101.4122952134
-326666.6603890889,333947.4185096392
-326733.8179977956,333793.3429126983
-326801.0293274543,333639.1440670606
-326868.3051923286,333484.7971622223
-326935.6347048371,333330.3271768959
-327002.9762075454,333175.8296831867
-327070.3387868038,333021.2838348371
-327137.7182987615,332866.6991388303
-327205.0695364932,332712.1793106522
-327272.3997375106,332557.7077457218
-327339.6565018870,332403.4046619885
-327406.7814465840,332249.4040040886
-327473.8421800433,332095.5506621067
-327540.8862018734,331941.7356605944
-327607.8872311504,331788.0192942688
-327674.8746022231,331634.3342631266
-327741.8784912183,331480.6113359244
-327808.9069234896,331326.8321005839
-327876.0092346864,331172.8833693401
-327943.2860222538,331018.5343476235
-328010.6104560053,330864.0760141788
-328077.9262180818,330709.6375756280
-328145.1850422769,330555.3297661785
-328212.3214900567,330401.3027174588
-328279.4070719251,330247.3923672908
-328346.4698984608,330093.5342232916
-328413.4939684605,329939.7649960443
-328480.4974245566,329786.0430620159
-328547.5022995610,329632.3178726732
-328614.5236768939,329478.5548230467
-328681.5895587448,329324.6896694247
-328748.7141569488,329170.6898064624
-328815.8922419040,329016.5672321162
-328883.0988108123,328862.3793087773
-328950.3549841116,328708.0775811160
-329017.6985277509,328553.5754050236
-329085.0644343742,328399.0219229042
-329152.4127036100,328244.5089051647
-329219.7222366758,328090.0847574524
-329286.9131384341,327935.9327782980
-329354.0842408924,327781.8262234677
-329421.2288028222,327627.7805589495
-329488.3559112607,327473.7749369098
-329555.4565418152,327319.8300614610
-329622.5796764838,327165.8335561989
-329689.7283241766,327011.7785179644
-329756.9199604399,326857.6248536801
-329824.2306932982,326703.1979533574
-329891.5639188350,326548.7194494570
-329958.8948937781,326394.2461089561
-330026.1717626927,326239.8969006096
-330093.3432825789,326085.7893880999
-330160.4668788597,325931.7918237889
-330227.5617957877,325777.8600567642
-330294.6370794223,325623.9733332044
-330361.6776272564,325470.1663018686
-330428.7166339898,325316.3628061861
-330495.7445590642,325162.5847344766
